sprint ,end date ,start date,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Sprint 49,25/Feb/2025,11/Feb/2025,3,3,6.75,57.92,57.92,63.86,57.59,54.89,81.89,74.39,97.7,97.7,100,100
Sprint 48,11/Feb/2025,28/Jan/2025,2.25,2.25,2.25,3.75,13.75,29.55,37.1,63,69.85,73.4,76.95,80.5,84.8,91.5
Sprint 47,28/Jan/2025,14/Jan/2025,1.5,1.5,6.5,13.9,24.6,41.2,57.65,74.85,89.05,90.35,94.65,99.7,99.75,99.8
Sprint 46,14/Jan/2025,31/Dec/2024,0,0,0,0,0,0,0,10,33.3,59.9,89.8,98.15,100,100
Sprint 45,31/Dec/2024,17/Dec/2024,1.5,1.5,1.5,3,13.75,27.05,42,57.85,75.2,81,83.8,88.85,93.9,97.25
